,name,sector,industry,country,mktCap,fullTimeEmployees
CIX.TO,CI FINANCIAL CORP.,Financial Services,Asset Management,Canada,4070560000,
CJ.TO,CARDINAL ENERGY LTD,Energy,Oil & Gas E&P,Canada,388427392,
CJ.DB.TO,error,,,,,
CJ.DB.A.TO,error,,,,,
CJR.B.TO,error,,,,,
CJT.TO,CARGOJET INC.,Industrials,Integrated Freight & Logistics,Canada,3133045504,1237
CJT.DB.D.TO,error,,,,,
CJT.DB.E.TO,error,,,,,
CJT.DB.F.TO,error,,,,,
CKI.TO,CLARKE INC,Financial Services,Asset Management,Canada,131506376,
CKI.DB.TO,error,,,,,
CLF.TO,ISHARES 1-5 YR LADDER GOVT BOND,,,,,
CLG.TO,ISHARES 1-10 YR LADDER GOVT BON,,,,,
CLIQ.TO,ALCANNA INC,Consumer Cyclical,Specialty Retail,Canada,302769696,
CLIQ.DB.TO,error,,,,,
CLQ.TO,error,,,,,
CLR.TO,error,,,,,
CLS.TO,"CELESTICA INC., SV",Technology,Electronic Components,Canada,1321482240,18226
CM.TO,CANADIAN IMPERIAL BANK OF COMME,Financial Services,Banks—Diversified,Canada,57226268672,43890
CM.PR.O.TO,error,,,,,
CM.PR.P.TO,error,,,,,
CM.PR.Q.TO,error,,,,,
CM.PR.R.TO,error,,,,,
CM.PR.S.TO,error,,,,,
CM.PR.T.TO,error,,,,,
CM.PR.Y.TO,error,,,,,
CMAG.TO,CI MUNRO ALT GLOBAL GROWTH FUND,,,,,
CMAR.TO,CI MARRET ALT ABSOLUTE RETURN B,,,,,
CMAR.U.TO,error,,,,,
CMCE.TO,CIBC MULTIFACTOR CANADIAN EQUIT,,,,,
CMG.TO,COMPUTER MODELLING GROUP LTD,Technology,Software—Application,Canada,439967296,197
CMMC.TO,COPPER MOUNTAIN MINING CORP,Basic Materials,Copper,Canada,855915968,
CMR.TO,ISHARES PREMIUM MONEY MARKET ET,,,,,
CMUE.TO,CIBC MULTIFACTOR US EQUITY ETF,,,,,
CNE.TO,CANACOL ENERGY LTD,Energy,Oil & Gas E&P,Canada,622917056,373
CNQ.TO,CDN NATURAL RES,Energy,Oil & Gas E&P,Canada,44258615296,
CNR.TO,CANADIAN NATIONAL RAILWAY CO.,Industrials,Railroads,Canada,93689643008,24577
CNT.TO,error,,,,,
CNU.TO,CNOOC LIMITED,Energy,Oil & Gas E&P,Hong Kong,58176126976,18151
COG.TO,error,,,,,
COMM.TO,BMO GLOBAL COMMUNICATIONS INDEX,,,,,
CORP.TO,EXEMPLAR INVESTMENT GRADE FUND,,,,,
COW.TO,ISHARES GLOBAL AGRI INDEX ETF,,,,,
CP.TO,CANADIAN PACIFIC RAILWAY LIMITE,Industrials,Railroads,Canada,61156134912,12398
CPD.TO,ISHARES SP TSX CDN PREF IDX ETF,,,,,
CPG.TO,CRESCENT POINT ENERGY CORP.,Energy,Oil & Gas E&P,Canada,2572280064,735
CPH.TO,CIPHER PHARMACEUTICALS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,35064900,5
CPI.TO,error,,,,,
CPLS.TO,CIBC CORE PLUS FIXED INCOME POO,,,,,
CPX.TO,CAPITAL POWER CORPORATION,Utilities,Utilities—Independent Power Producers,Canada,4192193280,793
CPX.PR.A.TO,error,,,,,
CPX.PR.C.TO,error,,,,,
CPX.PR.E.TO,error,,,,,
CPX.PR.G.TO,error,,,,,
CPX.PR.I.TO,error,,,,,
CPX.PR.K.TO,error,,,,,
CR.TO,CREW ENERGY INC,Energy,Oil & Gas E&P,Canada,164788384,
CRDL.TO,CARDIOL THERAPEUTICS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,139327664,
CRDL.WT.TO,error,,,,,
CRED.TO,CI LAWRENCE PARK ALT INVEST GRD,,,,,
CRED.U.TO,error,,,,,
CRH.TO,CRH MEDICAL CORPORATION,Healthcare,Medical Instruments & Supplies,Canada,357385792,133
CRON.TO,CRONOS GROUP INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,3727719424,
CRP.TO,error,,,,,
CRR.UN.TO,error,,,,,
CRRX.TO,error,,,,,
CRT.UN.TO,error,,,,,
CRWN.TO,error,,,,,
CRWN.DB.TO,error,,,,,
CS.TO,CAPSTONE MINING CORP.,Basic Materials,Copper,Canada,2251053568,
CSAV.TO,CI HIGH INTEREST SAVINGS ETF,,,,,
CSD.TO,ISHARES SHORT DUR HI INC ETF CA,,,,,
CSE.PR.A.TO,error,,,,,
CSH.UN.TO,error,,,,,
CSM.TO,error,,,,,
CSU.TO,CONSTELLATION SOFTWARE INC.,Technology,Software—Application,Canada,38227984384,
CSU.DB.TO,error,,,,,
CSW.A.TO,error,,,,,
CSW.B.TO,error,,,,,
CSY.TO,CI CORE CAN EQUITY INC CLASS ET,,,,,
CTC.TO,error,,,,,
CTC.A.TO,error,,,,,
CTF.UN.TO,error,,,,,
CTX.TO,error,,,,,
CU.TO,"CANADIAN UTILITIES LTD., CL.A, ",Utilities,Utilities—Diversified,Canada,9574435840,4473
CU.PR.C.TO,error,,,,,
CU.PR.D.TO,error,,,,,
CU.PR.E.TO,error,,,,,
CU.PR.F.TO,error,,,,,
CU.PR.G.TO,error,,,,,
CU.PR.H.TO,error,,,,,
CU.PR.I.TO,error,,,,,
CU.X.TO,error,,,,,
CUD.TO,ISHARES SP US DIV GROWERS IDX E,,,,,
CUF.UN.TO,error,,,,,
CUP.RT.U.TO,error,,,,,
CUP.U.TO,error,,,,,
CVD.TO,ISHARES CONVERTIBLE BOND INDEX ,,,,,
CVE.TO,CENOVUS ENERGY INC.,Energy,Oil & Gas Integrated,Canada,19307091968,2413
CVG.TO,CLAIRVEST GROUP,Financial Services,Asset Management,Canada,926091584,35
CWB.TO,CDN WESTERN BANK,Financial Services,Banks—Regional,Canada,2944000256,2498
CWB.PR.B.TO,error,,,,,
CWB.PR.C.TO,error,,,,,
CWB.PR.D.TO,error,,,,,
CWEB.TO,CHARLOTTES WEB HOLDINGS INC,Healthcare,Drug Manufacturers—Specialty & Generic,United States,692059456,306
CWEB.WR.TO,error,,,,,
CWEB.WS.TO,error,,,,,
CWEB.WT.TO,error,,,,,
CWL.TO,error,,,,,
CWW.TO,ISHARES SP GLOBAL WATER IDX ETF,,,,,
CWX.TO,CANWEL BUILDING MATERIALS GROUP,Basic Materials,Building Materials,Canada,757348928,
CWX.NT.A.TO,error,,,,,
CXB.TO,CALIBRE MINING CORP,Basic Materials,Gold,Canada,670980160,
CXF.TO,CI CDN CONVERT BOND ETF,,,,,
