,name,sector,industry,country,mktCap,fullTimeEmployees
BBN.AX,BABY B FPO,Consumer Cyclical,Specialty Retail,Australia,723827968,1279
BBOZ.AX,error,,,,,
BBUS.AX,error,,,,,
BBX.AX,BBXMINERAL FPO,Basic Materials,Gold,Australia,117196472,
BC8.AX,BLACK CAT FPO,Basic Materials,Gold,Australia,73943208,
BCB.AX,BOWENCOAL FPO,Basic Materials,Coking Coal,Australia,62499492,
BCC.AX,BEAM COMS FPO,Technology,Communication Equipment,Australia,19889044,
BCI.AX,BCIMINERAL FPO,Basic Materials,Other Industrial Metals & Mining,Australia,179518208,
BCK.AX,BROCKMAN FPO,Basic Materials,Other Industrial Metals & Mining,Hong Kong,217167872,9
BCL.AX,delisted,,,,,
BCN.AX,BEACON MIN FPO,Basic Materials,Gold,Australia,100343592,
BCT.AX,BLUECHIIP FPO,Technology,Semiconductors,Australia,22121598,
BD1.AX,BARD1 LIFE FPO,Healthcare,Diagnostics & Research,Australia,301813760,
BDA.AX,BOD AUST FPO,Consumer Defensive,Household & Personal Products,Australia,52912000,
BDC.AX,BARDOCGOLD FPO,Basic Materials,Gold,Australia,124938720,
BDG.AX,BLK DRAGON CDI 1:1,Basic Materials,Gold,United Kingdom,10268566,
BDI.AX,BLINA M FPO,Basic Materials,Other Industrial Metals & Mining,Australia,125375,
BEAR.AX,error,,,,,
BEE.AX,BROO LTD FPO,Consumer Defensive,Beverages—Brewers,Australia,16077802,
BEL.AX,BENTLEY FPO,Financial Services,Asset Management,Australia,7003767,
BEM.AX,BLACKEARTH FPO,Basic Materials,Other Industrial Metals & Mining,Australia,23849142,
BEN.AX,BEN ADE BK FPO,Financial Services,Banks—Regional,Australia,5230039552,4529
BET.AX,BETMAKTECH FPO,Consumer Cyclical,Gambling,Australia,783350976,
BFC.AX,BEST GLOB FPO,Consumer Defensive,Packaged Foods,Australia,55616484,
BFG.AX,BELL FN GP FPO,Financial Services,Capital Markets,Australia,551679680,732
BGA.AX,BEGA FPO,Consumer Defensive,Packaged Foods,Australia,1956120320,1800
BGL.AX,BELLEVUE FPO,Basic Materials,Gold,Australia,744962688,
BGP.AX,BRISCOE FPO NZX,Consumer Cyclical,Department Stores,New Zealand,1162516096,
BGT.AX,BIOGENETEC FPO,Healthcare,Biotechnology,Australia,21983450,
BHD.AX,HORNIGOLD FPO,Financial Services,Asset Management,Australia,6521904,
BHL.AX,BOYUAN FPO,Real Estate,Real Estate Services,Australia,37744300,
BHP.AX,BHP GROUP FPO,Basic Materials,Other Industrial Metals & Mining,Australia,227918987264,31589
BID.AX,BILL ID FPO,Technology,Software—Application,Australia,143220000,
BILL.AX,error,,,,,
BIN.AX,BINGO IND FPO,Industrials,Waste Management,Australia,2069676928,1000
BIQ.AX,error,,,,,
BIR.AX,BIRFIN FPO,Financial Services,Asset Management,Australia,1381256,
BIS.AX,BISALLOY FPO,Basic Materials,Steel,Australia,47702616,
BIT.AX,BIOTRON FPO,Healthcare,Biotechnology,Australia,46327576,
BKI.AX,BKI INVEST FPO,Financial Services,Asset Management,Australia,1066012672,
BKL.AX,BLACKMORE. FPO,Consumer Defensive,Household & Personal Products,Australia,1602956928,1400
BKT.AX,BLACKROCK FPO,Basic Materials,Other Industrial Metals & Mining,Australia,89512752,
BKW.AX,BRICKWORKS FPO,Basic Materials,Building Materials,Australia,3077418752,1937
BKY.AX,BERKELEY FPO,Energy,Uranium,Spain,166800208,
BLA.AX,delisted,,,,,
BLD.AX,BORAL LTD FPO,Basic Materials,Building Materials,Australia,6728818688,11032
BLG.AX,BLUGLASS FPO,Technology,Semiconductor Equipment & Materials,Australia,59973972,
BLK.AX,delisted,,,,,
BLU.AX,BLUEENERGY FPO,Energy,Oil & Gas E&P,Australia,103652640,
BLV.AX,delisted,,,,,
BLX.AX,BEACON LTG FPO,Consumer Cyclical,Specialty Retail,Australia,366246432,1000
BLY.AX,BOART FPO,Energy,Oil & Gas Equipment & Services,United States,51336844,
BLZ.AX,BLAZE INT FPO,Basic Materials,Other Industrial Metals & Mining,Australia,7087500,
BMG.AX,BMG FPO,Basic Materials,Other Industrial Metals & Mining,Australia,16559448,
BMH.AX,BAUMART FPO,Basic Materials,Building Materials,Australia,24606648,
BMN.AX,BANNERMAN FPO,Energy,Uranium,Australia,160533904,
BNDS.AX,error,,,,,
BNKS.AX,error,,,,,
BNL.AX,BLUESTAR FPO,Energy,Oil & Gas E&P,Australia,40690980,
BNO.AX,BIONOMICS FPO,Healthcare,Biotechnology,Australia,215052496,
BNR.AX,BULLETIN FPO,Basic Materials,Gold,Australia,12550509,1
BOA.AX,BOADICEA FPO,Basic Materials,Other Industrial Metals & Mining,Australia,13982782,
BOC.AX,BOUGVLLE.C FPO 1K,Basic Materials,Other Precious Metals & Mining,Papua New Guinea,176467280,
BOE.AX,BOSS EN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,283820512,
BOL.AX,BOOM FPO,Industrials,Industrial Distribution,Australia,55610620,398
BOND.AX,error,,,,,
BOQ.AX,BANK QLD FPO,Financial Services,Banks—Regional,Australia,5563806720,2021
BOT.AX,BOTANIX FPO,Healthcare,Biotechnology,Australia,97314200,1
BPH.AX,BPH ENERGY FPO,Financial Services,Asset Management,Australia,66491900,
BPL.AX,delisted,,,,,
BPP.AX,BABYLONPU FPO,Industrials,Rental & Leasing Services,Australia,23593680,
BPT.AX,BEACH FPO,Energy,Oil & Gas E&P,Australia,4049360640,
BRB.AX,BREAKER FPO,Basic Materials,Gold,Australia,66797404,
BRG.AX,BREVILLE FPO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Australia,3831992576,610
